regime,subset,unit,N,arm,skill,rmse_early,false_alarm,detect_corr
ood_combo,DS03,13,1,E_MLP,-0.1606228,0.04958694,0.06064565,0.682004163662593
ood_combo,DS03,13,1,E_MixLinear,0.5200731,0.02274198,0.01234746,0.46392963329951
ood_combo,DS03,13,1,E_WPMixer,-29.05619,0.3017565,0.3277779,0.506646141409874
ood_combo,DS03,13,1,D,0.9698457,0.006578841,0.002147612,0.975941144112404
ood_combo,DS03,13,10,Z_zero,0,0.006431437,0,0
ood_combo,DS03,13,10,E_Lin,0.9326552,0.008312104,0.005875059,0.989386339982351
ood_combo,DS03,13,10,E_MLP,0.386057,0.02072492,0.03785623,0.852220376332601
ood_combo,DS03,13,10,E_MixLinear,0.7472179,0.01232295,0.005557644,0.522326231002808
ood_combo,DS03,13,10,E_WPMixer,-9.52825,0.08960807,0.1678439,0.624647992352645
ood_combo,DS03,13,10,D,0.9854522,0.003442616,0.00129942,0.992929334599003
ood_combo,DS03,13,100,Z_zero,0,0.006431437,0,0
ood_combo,DS03,13,100,E_Lin,0.9351988,0.00533665,0.004416157,0.992428719997406
ood_combo,DS03,13,100,E_MLP,0.5097544,0.01327346,0.03326927,0.92321103811264
ood_combo,DS03,13,100,E_MixLinear,0.7298278,0.01514808,0.004397673,0.447241465250651
ood_combo,DS03,13,100,E_WPMixer,-8.595637,0.04933878,0.1427574,0.700022652745247
ood_combo,DS03,13,100,D,0.9874753,0.002832531,0.000838644,0.995375845411168
ood_combo,DS03,13,1000,Z_zero,0,0.006431437,0,0
ood_combo,DS03,13,1000,E_Lin,0.93628,0.004719607,0.004191259,0.99296643336614
ood_combo,DS03,13,1000,E_MLP,0.5130857,0.01021058,0.03162589,0.926990826924642
ood_combo,DS03,13,1000,E_MixLinear,0.7291527,0.01485156,0.00445173,0.446577191352844
ood_combo,DS03,13,1000,E_WPMixer,-8.128692,0.04638198,0.1399307,0.705524961153666
ood_combo,DS03,13,1000,D,0.9879955,0.002987683,0.00089305,0.994291690492918
ood_combo,DS03,14,1,Z_zero,0,0.005612131,0,0
ood_combo,DS03,14,1,E_Lin,0.4954126,0.01793649,0.01056628,0.846702377001444
ood_combo,DS03,14,1,E_MLP,-0.3075683,0.06754923,0.04885776,0.557000348965327
ood_combo,DS03,14,1,E_MixLinear,0.7451482,0.04294192,0.010487,0.861721654733022
ood_combo,DS03,14,1,E_WPMixer,-17.35253,0.2769662,0.2707327,0.397814571857452
ood_combo,DS03,14,1,D,0.8699119,0.003102533,0.00279353,0.976820686637463
ood_combo,DS03,14,10,Z_zero,0,0.005612131,0,0
ood_combo,DS03,14,10,E_Lin,0.5464563,0.006806829,0.004300527,0.957699437936147
ood_combo,DS03,14,10,E_MLP,0.1742095,0.02235452,0.0231756,0.68951545159022
ood_combo,DS03,14,10,E_MixLinear,0.9291795,0.01699508,0.0040869,0.972322146097819
ood_combo,DS03,14,10,E_WPMixer,-2.782776,0.08351152,0.1079086,0.5622831483682
ood_combo,DS03,14,10,D,0.8618845,0.002206329,0.001779986,0.986991330837197
ood_combo,DS03,14,100,Z_zero,0,0.005612131,0,0
ood_combo,DS03,14,100,E_Lin,0.5506276,0.003454727,0.002454018,0.986585378646851
ood_combo,DS03,14,100,E_MLP,0.2591047,0.01188276,0.01400864,0.806546250979106
ood_combo,DS03,14,100,E_MixLinear,0.9393594,0.01554409,0.002280794,0.974321802457174
ood_combo,DS03,14,100,E_WPMixer,-1.013038,0.04545924,0.07108988,0.641830424467723
ood_combo,DS03,14,100,D,0.8564901,0.002234203,0.001585159,0.994459912375076
ood_combo,DS03,14,1000,Z_zero,0,0.005612131,0,0
ood_combo,DS03,14,1000,E_Lin,0.5511809,0.003079237,0.002190572,0.987287720044454
ood_combo,DS03,14,1000,E_MLP,0.2519725,0.01017862,0.01289177,0.820673008759817
ood_combo,DS03,14,1000,E_MixLinear,0.9371041,0.01474705,0.002089411,0.973890463511149
ood_combo,DS03,14,1000,E_WPMixer,-0.8212364,0.0400022,0.06575113,0.684169501066208
ood_combo,DS03,14,1000,D,0.8560174,0.002187366,0.001629088,0.994627641161112
ood_combo,DS03,15,1,Z_zero,0,0.005145059,0,0
ood_combo,DS03,15,1,E_Lin,0.8716932,0.01329801,0.01091556,0.950878481070201
ood_combo,DS03,15,1,E_MLP,-0.5822664,0.04536776,0.06761638,0.654252707958221
ood_combo,DS03,15,1,E_MixLinear,0.8877201,0.02012343,0.008795477,0.926971216996511
ood_combo,DS03,15,1,E_WPMixer,-21.80306,0.2205539,0.2905277,0.250421077013016
ood_combo,DS03,15,1,D,0.9545795,0.004188948,0.002272518,0.979291839543938
ood_combo,DS03,15,10,Z_zero,0,0.005145059,0,0
ood_combo,DS03,15,10,E_Lin,0.9198953,0.006351798,0.004913617,0.98859582344691
ood_combo,DS03,15,10,E_MLP,-0.1220582,0.02118991,0.04989866,0.824955066045125
ood_combo,DS03,15,10,E_MixLinear,0.9589177,0.0136965,0.003829911,0.969692647457123
ood_combo,DS03,15,10,E_WPMixer,-4.572704,0.0654386,0.1358197,0.363146205743154
ood_combo,DS03,15,10,D,0.9823458,0.003175485,0.002133674,0.993218086087363
ood_combo,DS03,15,100,Z_zero,0,0.005145059,0,0
ood_combo,DS03,15,100,E_Lin,0.9256477,0.004979804,0.003450894,0.995503882567088
ood_combo,DS03,15,100,E_MLP,0.02166843,0.01352898,0.04544813,0.883420348167419
ood_combo,DS03,15,100,E_MixLinear,0.9761621,0.01123883,0.003888213,0.984454413255056
ood_combo,DS03,15,100,E_WPMixer,-2.603264,0.04752893,0.1120671,0.53135405605038
ood_combo,DS03,15,100,D,0.9865319,0.002856917,0.001884101,0.99636633235043
ood_combo,DS03,15,1000,Z_zero,0,0.005145059,0,0
ood_combo,DS03,15,1000,E_Lin,0.9271634,0.004413873,0.003319426,0.996056874593099
ood_combo,DS03,15,1000,E_MLP,0.007579923,0.0108565,0.04541577,0.913073499997457
ood_combo,DS03,15,1000,E_MixLinear,0.9753486,0.01101146,0.004056985,0.985145370165507
ood_combo,DS03,15,1000,E_WPMixer,-2.442889,0.04531747,0.1105843,0.558310460299253
