mode,subset,unit,N,arm,lambda,skill,rmse,rmse_early,false_alarm,detect_corr
full,DS02,11,1000,FreeMLP,0.316227766016838,0.738230099435025,0.0426920776452318,0.00722227267180667,0.000562984339422858,0.976974681485369
full,DS02,11,1000,FreeMLP,1,0.84865680495043,0.0324615225460623,0.00543922398909385,0.000547569577303166,0.980259958366926
full,DS02,11,1000,FreeMLP,3.16227766016838,0.934731808177552,0.0213175959902726,0.00386432743138051,0.000540596102719172,0.987988907100125
full,DS02,11,1000,FreeMLP,10,0.969303406317158,0.014619500330829,0.00337779072281999,0.000554396164140331,0.993921424669983
full,DS02,11,1000,FreeMLP,31.6227766016838,0.978546205083974,0.0122219217534223,0.00297805598901415,0.000744543745877281,0.995794039954721
full,DS02,11,1000,FreeMLP,100,0.967857009356908,0.0149599650025193,0.00269431675974748,0.0018724276307101,0.995709633420119
full,DS02,11,1000,FreeMLP,316.227766016838,0.895987123840205,0.0269110714568027,0.00247065046398187,0.00448858126817404,0.994876879994773
full,DS02,11,1000,FreeMLP,1000,0.734476057969552,0.0429971114036142,0.0028488310685432,0.00635529409826031,0.995370877613866
full,DS02,11,1000,MoE_dir,0.1,0.509633868176636,0.05843158541884,0.00772869384504626,0.000384977447755739,0.966325955226146
full,DS02,11,1000,MoE_dir,0.316227766016838,0.732482492776565,0.0431582216456135,0.00736213096260413,0.000365030203604484,0.975121115537489
full,DS02,11,1000,MoE_dir,1,0.84214838658575,0.0331521691197648,0.00585220430125096,0.000352192235096089,0.978927872167019
full,DS02,11,1000,MoE_dir,3.16227766016838,0.931239145871573,0.0218805416133691,0.00420713485398143,0.000348610210337087,0.987510068575766
full,DS02,11,1000,MoE_dir,10,0.967800490104017,0.0149731117985694,0.00367095589219673,0.00036424051570875,0.994154046471861
full,DS02,11,1000,MoE_dir,31.6227766016838,0.977116303678775,0.0126226495412914,0.00316682116793317,0.000578166444108262,0.996023539146172
full,DS02,11,1000,MoE_dir,100,0.965572883378921,0.015482381403433,0.00277340461648249,0.00174299909046849,0.995900673371844
full,DS02,11,1000,MoE_dir,316.227766016838,0.893621153433831,0.0272154221446638,0.00248978899732835,0.00438038463326956,0.995133848612861
full,DS02,11,1000,MoE_dir,1000,0.733498456600995,0.0430761916847548,0.00285074329167769,0.00627105049320584,0.995391261604707
highTRA,DS02,11,1,Z_zero,NaN,0,0.0834457827592213,0.00530262475219288,0,0
highTRA,DS02,11,1,H0,0.1,-1.18649226966714,0.123389545922257,0.0107815861740876,0.00109366703328887,0.903316919479091
highTRA,DS02,11,1,H0,0.316227766016838,-0.141700464022598,0.0891621396196002,0.0107220869953607,0.00104927539714725,0.980237784111055
highTRA,DS02,11,1,H0,1,0.281829336081614,0.07071608731302,0.00864280041774198,0.0010367475473291,0.985711926009612
highTRA,DS02,11,1,H0,3.16227766016838,0.682087216323961,0.0470498657743566,0.00764281867783354,0.00103698018718346,0.983501945912431
highTRA,DS02,11,1,H0,10,0.868778205890733,0.0302278583585357,0.00677960026006197,0.00106472801212592,0.979783179338219
highTRA,DS02,11,1,H0,31.6227766016838,0.936826430598318,0.0209735574909004,0.00593783057689714,0.00124527447675141,0.979290731688705
highTRA,DS02,11,1,H0,100,0.961719605869571,0.0163264812229924,0.00503400817873507,0.00209524740921843,0.982032526744374
