mode,subset,N,lambda,GroupCount,FreeMLP,H0,MoE_K4,MoE_dir,TRA4,gap
highTRA,DS02,100,316.227766016838,3,0.863279164073397,0.866530515865897,0.862125563928365,0.861836579012342,0.865066982948131,-0.00440495193753199
highTRA,DS02,100,1000,3,0.709425032721116,0.712610012140088,0.70870377547164,0.7082417988557,0.710851424265365,-0.00390623666844858
highTRA,DS02,1000,0.1,3,-0.18376325280895,-0.490836888924763,-0.0438476086566083,-0.0529842767668591,-0.202751775569837,0.446989280268155
highTRA,DS02,1000,0.316227766016838,3,0.344414174343773,0.36403449234064,0.418294471315432,0.424882688412675,0.361340981272216,0.0542599789747924
highTRA,DS02,1000,1,3,0.788842174744805,0.794898256696172,0.801868765466167,0.807298997972702,0.794295959113679,0.0069705087699955
highTRA,DS02,1000,3.16227766016838,3,0.916718914211783,0.91445127408617,0.917192897156065,0.919104588940318,0.917164245169578,0.00274162306989434
highTRA,DS02,1000,10,3,0.942556205937523,0.937264101245466,0.941463852347824,0.942141105107623,0.940273050968141,0.00419975110235793
highTRA,DS02,1000,31.6227766016838,3,0.944482128896651,0.941213595682518,0.943198277668534,0.943701576570153,0.94275171257924,0.00198468198601598
highTRA,DS02,1000,100,3,0.930456015308351,0.932612346788688,0.929147596592182,0.929429353969723,0.931527573953964,-0.00346475019650594
highTRA,DS02,1000,316.227766016838,3,0.863027567621439,0.866276470158105,0.861852314628409,0.861569447504135,0.864852715513791,-0.00442415552969611
highTRA,DS02,1000,1000,3,0.708916584965584,0.712151362679686,0.708223693194939,0.707760584155503,0.710357556214509,-0.00392766948474665
highTRA,DS03,1,0.1,6,-0.111497514677745,-0.372738390218304,0.00770752632878996,0.024635168946891,-0.0404514335092452,0.380445916547094
highTRA,DS03,1,0.316227766016838,6,0.265812651953607,0.104433549764773,0.289755663343793,0.310689217352248,0.193172475548295,0.18532211357902
highTRA,DS03,1,1,6,0.637466255859264,0.655111295102349,0.644533346872313,0.653639435038944,0.626314033547507,-0.0105779482300364
highTRA,DS03,1,3.16227766016838,6,0.864501068233981,0.856632600823957,0.86045936345221,0.866893977446645,0.858008794544575,0.00382676262825343
highTRA,DS03,1,10,6,0.931207455849501,0.917783799124287,0.930059748282853,0.93122737044758,0.926940896810598,0.0122759491585658
highTRA,DS03,1,31.6227766016838,6,0.94777223985806,0.940686511456443,0.946730004736751,0.947608267754199,0.947020838388467,0.00604349328030773
highTRA,DS03,1,100,6,0.937147966483113,0.942453749445854,0.936454733161615,0.937272936528908,0.940469838469877,-0.00599901628423882
highTRA,DS03,1,316.227766016838,6,0.858138789733682,0.86009636672279,0.857645533690614,0.857924126527783,0.861496267051895,-0.0024508330321753
highTRA,DS03,1,1000,6,0.677700048733745,0.673706028177545,0.67734743344315,0.676945694420151,0.67778507006973,0.0036414052656053
highTRA,DS03,10,0.1,6,0.0414325163534409,-0.202432013696616,0.102367729496083,0.100527659028702,-0.00231973343777758,0.304799743192699
highTRA,DS03,10,0.316227766016838,6,0.381385615474009,0.288656407504622,0.408657841494362,0.408402310904284,0.368170747021412,0.12000143398974
highTRA,DS03,10,1,6,0.777655821224005,0.779335437300773,0.783279280848961,0.784905456597946,0.782727456961715,0.00394384354818778
highTRA,DS03,10,3.16227766016838,6,0.92018566503101,0.914792127415787,0.920836942659635,0.922455147041136,0.919211608240659,0.00604481524384726
highTRA,DS03,10,10,6,0.955383361681622,0.949302875249184,0.954632957127138,0.955516296267719,0.953005009139372,0.0053300818779547
highTRA,DS03,10,31.6227766016838,6,0.95995813520494,0.959538334435618,0.959185531881245,0.960027861630828,0.959913565510644,-0.000352802554372422
highTRA,DS03,10,100,6,0.941245189004732,0.94818066020985,0.940572583680552,0.941495013022016,0.944823771054292,-0.00760807652929785
highTRA,DS03,10,316.227766016838,6,0.855304742746496,0.857518211321907,0.854884762865282,0.855222041511565,0.857937394328256,-0.00263344845662494
highTRA,DS03,10,1000,6,0.67478649677113,0.671390959485641,0.674569781855285,0.67424144670811,0.674411564929526,0.0031788223696444
highTRA,DS03,100,0.1,6,0.00778848441652023,-0.220840520155754,0.125832158860837,0.10493667103433,-0.0598160370950146,0.346672679016592
highTRA,DS03,100,0.316227766016838,6,0.412305031420864,0.361117270257924,0.460929948225771,0.45491122832948,0.402430584404061,0.0998126779678472
highTRA,DS03,100,1,6,0.811633450673241,0.816322448265077,0.819912176275301,0.822898940171849,0.811297606331513,0.00358972801022317
highTRA,DS03,100,3.16227766016838,6,0.932292589804878,0.926385530452671,0.932450814487939,0.933975234238584,0.93001633285566,0.00606528403526851
highTRA,DS03,100,10,6,0.958032770900505,0.95198531751432,0.957428831807589,0.958334380713113,0.956012726151344,0.00544351429326895
highTRA,DS03,100,31.6227766016838,6,0.960461256060029,0.960234645631882,0.959807763061343,0.960661210325379,0.960752717007423,-0.00042688257053991
highTRA,DS03,100,100,6,0.940958931737806,0.947964488988759,0.940398297835154,0.941305483561478,0.944625635231295,-0.00756619115360468
highTRA,DS03,100,316.227766016838,6,0.854700335344168,0.856937954065295,0.854291694200943,0.854601657224899,0.857397888142667,-0.00264625986435174
highTRA,DS03,100,1000,6,0.674745330456004,0.671344305217237,0.67446277370675,0.674140193231834,0.674512465850353,0.00311846848951292
highTRA,DS03,1000,0.1,6,0.0316146090410595,-0.187744070160638,0.11208993759536,0.0928915926505668,-0.0485071029547979,0.299834007755998
