perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
missing_channel,1,0,9,test_id,DS04_id,6,0.0281352253931375,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0
missing_channel,1,0,9,test_id,DS05_id,2,0.00556294721843816,0.862385321100917,0.560477646716179,0.865694551036071,0.3125,0
missing_channel,1,0,9,test_id,DS07_id,3,0.0211728402456318,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205,0
missing_channel,1,0,9,test_id,DS06_id,4,0.0184462845553088,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195,0
missing_channel,1,0,9,ood_combo,DS02,11,0.0284635913500463,0.881720430107527,0.881930546773839,0.662566094744793,0.525423728813559,0
missing_channel,1,0,9,ood_combo,DS03,10,0.0401255024662828,0.924528301886792,0.718237338629593,0.941798941798942,0.136363636363636,0
missing_channel,1,0,10,test_id,DS01-005_id,4,0.0904527992160326,0.846715328467153,0.155913978494624,0.833650551960411,0.336842105263158,0
missing_channel,1,0,10,test_id,DS04_id,6,0.0488388200386503,0.984848484848485,0.364112396694215,0.928755364806867,0.168674698795181,0
missing_channel,1,0,10,test_id,DS05_id,2,0.0449919122678283,0.932330827067669,0.336286588029707,0.768211920529801,0.35,0
missing_channel,1,0,10,test_id,DS07_id,3,0.0542502036981217,0.905982905982906,0.253874145178493,0.853720508166969,0.243589743589744,0
missing_channel,1,0,10,test_id,DS06_id,4,0.101607061728162,0.814814814814815,0.58554355960184,0.594405594405594,0.551724137931034,0
missing_channel,1,0,10,ood_combo,DS02,11,0.0370816692185804,0.881720430107527,0.458565444573995,0.674985947161327,0.457627118644068,0
missing_channel,1,0,10,ood_combo,DS03,10,0.0355248533458728,0.924528301886792,0.471267537493953,0.929336188436831,0.166666666666667,0
missing_channel,1,0,11,test_id,DS01-005_id,4,0.102631422833863,0.878787878787879,0.175757575757576,0.839255499153976,0.326315789473684,0
missing_channel,1,0,11,test_id,DS04_id,6,0.0282194498164849,0.928,0.256058111380145,0.944703530979347,0.144578313253012,0
missing_channel,1,0,11,test_id,DS05_id,2,0.00586442973076876,0.862385321100917,0.560477646716179,0.865694551036071,0.3125,0
missing_channel,1,0,11,test_id,DS07_id,3,0.0250105521434723,0.907216494845361,0.450762457044674,0.849599525363394,0.269230769230769,0
missing_channel,1,0,11,test_id,DS06_id,4,0.0170367500051405,1,0.528186274509804,0.966662408992208,0.103448275862069,0
missing_channel,1,0,11,ood_combo,DS02,11,0.0221673074717203,0.872340425531915,0.918020285213147,0.650811047786059,0.542372881355932,0
missing_channel,1,0,11,ood_combo,DS03,10,0.0334264330406567,0.924528301886792,0.697722984562607,0.929336188436831,0.166666666666667,0
missing_channel,1,0,12,test_id,DS01-005_id,4,0.104677909480438,0.878787878787879,0.187096774193548,0.839255499153976,0.326315789473684,0
missing_channel,1,0,12,test_id,DS04_id,6,0.0280688153565642,0.977099236641221,0.256058111380145,0.970452118191527,0.072289156626506,0
missing_channel,1,0,12,test_id,DS05_id,2,0.00541272592820244,0.862385321100917,0.571412390984256,0.880860876249039,0.2625,0
missing_channel,1,0,12,test_id,DS07_id,3,0.0246067365934377,0.907216494845361,0.450762457044674,0.849599525363394,0.269230769230769,0
missing_channel,1,0,12,test_id,DS06_id,4,0.0173219672274243,1,0.528186274509804,0.966662408992208,0.103448275862069,0
missing_channel,1,0,12,ood_combo,DS02,11,0.0203852264498038,0.872340425531915,0.918020285213147,0.662934186471664,0.474576271186441,0
missing_channel,1,0,12,ood_combo,DS03,10,0.0338496402045692,0.924528301886792,0.706901306240929,0.929336188436831,0.166666666666667,0
missing_channel,1,0,13,test_id,DS01-005_id,4,0.153412836507824,0.878787878787879,0,0.823065902578797,0.294736842105263,0
missing_channel,1,0,13,test_id,DS04_id,6,0.0281828566212268,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0
missing_channel,1,0,13,test_id,DS05_id,2,0.00526532730166452,0.862385321100917,0.560477646716179,0.870229007633588,0.3,0
missing_channel,1,0,13,test_id,DS07_id,3,0.0232734160258991,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205,0
missing_channel,1,0,13,test_id,DS06_id,4,0.017433401664224,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195,0
missing_channel,1,0,13,ood_combo,DS02,11,0.0324598860329695,0.881720430107527,0.881930546773839,0.662566094744793,0.525423728813559,0
missing_channel,1,0,13,ood_combo,DS03,10,0.0779512545899581,0.942307692307692,0.619524436640328,0.887895583765421,0.257575757575758,0
