quantile,subset,unit,N,lambda,Z_zero_skill,H0_skill,MoE_skill,gap
0.75,DS03,10,1000,0.00316227766016838,0,-0.106381502340639,0.187799928447291,0.29418143078793
0.75,DS03,10,1000,0.01,0,-0.106333294496515,0.187822706579757,0.294156001076272
0.75,DS03,10,1000,0.0316227766016838,0,-0.106180888809963,0.187894722597304,0.294075611407267
0.75,DS03,10,1000,0.1,0,-0.105699348344652,0.188122309721199,0.29382165806585
0.75,DS03,10,1000,0.316227766016838,0,0.230745901010171,0.375586371642657,0.144840470632487
0.75,DS03,10,1000,1,0,0.773582361671972,0.788381028426596,0.0147986667546239
0.75,DS03,10,1000,3.16227766016838,0,0.942930861740134,0.960630693360306,0.0176998316201717
0.75,DS03,10,1000,10,0,0.972571839273028,0.988728545562682,0.0161567062896536
0.75,DS03,10,1000,31.6227766016838,0,0.987162658655671,0.987453192397337,0.000290533741666432
0.75,DS03,10,1000,100,0,0.967515093580414,0.954910678367906,-0.0126044152125077
0.75,DS03,10,1000,316.227766016838,0,0.832176466209969,0.833807965563369,0.00163149935339935
0.75,DS03,10,1000,1000,0,0.588078595625775,0.606357781895082,0.018279186269307
0.75,DS03,11,1,0.001,0,-1.35135651099731,0.0176964360372341,1.36905294703455
0.75,DS03,11,1,0.00316227766016838,0,-1.35133626513471,0.0215778529396095,1.37291411807432
