subset,unit,N,method,lam,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta
DS02,11,100,D,0.001,0.06792096390561153,0.08055895179008075,0.007738415588095683,0.0007370779420306241,0.9634731830382955,6.153489818251051,2.5716107163775344,2.599510286068454
DS02,11,100,B,0.0031622776601683794,-26.786662056827403,0.43985104306572376,0.5442920400722375,0.00978264549159698,0.12783143823234458,2.0117134990243684,10.418992255521555,2.599510286068454
DS02,11,100,D,0.0031622776601683794,0.11000255860917407,0.07871940732686075,0.007732024839840517,0.0007341204411117956,0.9668852728316231,6.153513036351797,2.54455957378172,2.599510286068454
DS02,11,100,B,0.01,-18.70195169856057,0.370375338675285,0.4589791832584654,0.009466890899111277,0.15509123951040032,2.05835257354145,8.85315240616706,2.599510286068454
DS02,11,100,D,0.01,0.15784250842561687,0.07657448678602499,0.007673712817418619,0.0007308172000748274,0.9682953870888538,6.153587982771723,2.5140573625118248,2.599510286068454
DS02,11,100,B,0.03162277660168379,-7.733490590869252,0.24659335247429548,0.3069153308716297,0.008966496051408973,0.23750945531857992,2.2367852185906814,6.108609473776756,2.599510286068454
DS02,11,100,D,0.03162277660168379,0.3693143775322072,0.06626647999203679,0.007560937207711618,0.000714326521764213,0.9714563929070973,6.154643790015027,2.3770862823752634,2.599510286068454
DS02,11,100,B,0.1,-1.0397804457106585,0.11917335027257304,0.15005566862334455,0.00853760652526092,0.45411154228889905,2.523787803801126,3.4697774765903926,2.599510286068454
DS02,11,100,D,0.1,0.6599095726006798,0.048661404597869024,0.007304411533488958,0.0006863677906760722,0.9759845378783001,6.158706527956233,2.182000588665313,2.599510286068454
DS02,11,100,B,0.31622776601683794,0.7039110519811524,0.04540446210744033,0.05794457058199618,0.008341756304995365,0.7934984637262353,2.7294099926887103,2.2976280142009755,2.599510286068454
DS02,11,100,D,0.31622776601683794,0.7723331715765405,0.039814137811140245,0.0062808213851895675,0.0006742513257797415,0.9733722593222928,6.162738797394935,2.107450081306754,2.599510286068454
DS02,11,100,B,1.0,0.9463954473461766,0.019319161571449615,0.021480083168409537,0.008206002875894508,0.9606245449028618,2.820685189625745,2.060821934568403,2.599510286068454
DS02,11,100,D,1.0,0.8375798587237971,0.03362849090389173,0.004478791616639147,0.0006716460462132367,0.9728846822505529,6.171466440404356,2.0634025896153476,2.599510286068454
DS02,11,100,B,3.1622776601683795,0.9679592022169188,0.014936164810757152,0.011110656120457564,0.007933857626447863,0.9847621891214454,2.864226459286592,2.0239879230891753,2.599510286068454
DS02,11,100,D,3.1622776601683795,0.9239482182829158,0.023011351858426315,0.0037665142456591136,0.0006732628775031997,0.982973811656386,6.20871995978034,2.003038131722966,2.599510286068454
DS02,11,100,B,10.0,0.971095676318748,0.01418629029473899,0.008941355282767032,0.007235752235410076,0.9881068867791362,2.981327437115636,1.9971129592677852,2.599510286068454
DS02,11,100,D,10.0,0.9676904765315968,0.014998668723487743,0.003308013930417674,0.0006900347992479088,0.992504481548543,6.274585875784698,1.9657297254560664,2.599510286068454
DS02,11,100,B,31.622776601683793,0.9757752304618845,0.01298725188455239,0.007686531899198274,0.0059900581002602,0.991364945299757,3.766339143155303,1.9309634477458728,2.599510286068454
DS02,11,100,D,31.622776601683793,0.9789995574105569,0.012092098061397768,0.0030260551004726286,0.0009285972980218303,0.9950027624249952,6.580012564032074,1.9160825412283158,2.599510286068454
DS02,11,100,B,100.0,0.9673391925171206,0.01507998451122629,0.005886486720223344,0.0058341241954493386,0.9945614637064285,7.050210403102051,1.7787484694914566,2.599510286068454
DS02,11,100,D,100.0,0.9694121640394099,0.01459357897947014,0.002804299269274862,0.002184062079843593,0.9948373659638142,8.739168471541772,1.7762746319319693,2.599510286068454
